"year","nest","sex","bird_ID"
2011,"s302","f",229194753
2011,"s302","m",229194739
2011,"s303","f",229194740
2011,"s303","m",229194743
2011,"s304","f",229194764
2011,"s304","m",229194746
2011,"s513","f",255174418
2011,"s513","m",255174404
2011,"s703","f",229194754
2011,"s703","m",229194755
2011,"s710","f",255174436
2011,"s710","m",255174435
2012,"s313","f",257188502
2012,"s313","m",255174563
2012,"s314","f",255174565
2012,"s314","m",255174717
2012,"s403","f",255174769
2012,"s403","m",229194734
2012,"s502","f",255174778
2012,"s502","m",255174308
2012,"s506","f",255174446
2012,"s506","m",255174513
2012,"s511","f",257188584
2012,"s511","m",255174738
2012,"s609","f",229194747
2012,"s609","m",229194761
2012,"s705","f",255174535
2012,"s705","m",225118856
2012,"s706","f",255174760
2012,"s706","m",255174759
2012,"s708","f",255174736
2012,"s708","m",229194777
2012,"s712","f",255174554
2012,"s712","m",255174735
2012,"s801","f",255174779
2012,"s801","m",255174781
2012,"s805","f",255174754
2012,"s805","m",229194771
2012,"s817","f",257188438
2012,"s817","m",257188427
2013,"s402","f",257188570
2013,"s402","m",253178803
2013,"s406","f",255174558
2013,"s406","m",255174347
2013,"s409","f",255174397
2013,"s409","m",255174343
2013,"s410","f",255174366
2013,"s410","m",255174344
2013,"s506","f",255174361
2013,"s506","m",229194724
2013,"s510","f",257188566
2013,"s510","m",255174329
2013,"s524","f",253178816
2013,"s524","m",257188552
2013,"s526","f",255174892
2013,"s526","m",255174846
2013,"s527","f",255174816
2013,"s527","m",255174847
2013,"s624","f",255174356
2013,"s624","m",255174322
2013,"s702","f",255174339
2013,"s702","m",257188571
2013,"s805","f",257188450
2013,"s805","m",255174364
