"year","nest","inc_start","hatch_start","end_state","end_datetime","lat","lon"
2011,"s302","2011-06-07 12:45:58","2011-06-24 21:00:00","ud","2011-06-25 15:30:00",71.3279,-156.64
2011,"s303","2011-06-06 07:41:09","2011-06-28 02:00:00","d","2011-07-05 06:00:00",71.325,-156.669
2011,"s304","2011-06-10 00:46:38","2011-06-28 02:00:00","fl","2011-06-29 09:30:00",71.3264,-156.671
2011,"s513","2011-06-19 00:59:59",NA,"fl","2011-07-11 10:30:00",71.3232,-156.664
2011,"s703","2011-06-06 12:47:49",NA,"p","2011-06-26 10:40:00",71.3283,-156.641
2011,"s710","2011-06-14 09:03:36",NA,"p","2011-06-29 01:00:00",71.3217,-156.678
2012,"s313","2012-06-22 17:13:34","2012-07-12 09:55:00","fl","2012-07-13 18:10:00",71.3259,-156.636
2012,"s314","2012-06-25 19:10:18",NA,"fl","2012-07-14 09:45:00",71.3259,-156.638
2012,"s403","2012-06-08 15:06:07",NA,"p","2012-06-21 23:45:00",71.3217,-156.672
2012,"s502","2012-06-09 20:54:18","2012-07-02 14:16:00","fl","2012-07-04 09:58:00",71.3231,-156.666
2012,"s506","2012-06-12 20:16:54",NA,"fu","2012-06-25 13:12:00",71.3168,-156.665
2012,"s511","2012-06-18 19:46:54",NA,"d","2012-07-15 05:50:00",71.3248,-156.623
2012,"s609","2012-06-23 02:00:00",NA,"d","2012-07-05 12:30:00",71.3232,-156.655
2012,"s705","2012-06-11 02:00:00",NA,"d","2012-07-13 14:05:00",71.3224,-156.663
2012,"s706","2012-06-10 17:04:04",NA,"d","2012-06-26 09:55:00",71.3184,-156.671
2012,"s708","2012-06-08 12:18:00",NA,"d","2012-06-28 02:30:00",71.3261,-156.669
2012,"s712","2012-06-15 14:10:00","2012-07-07 07:00:00","fl","2012-07-08 06:15:00",71.326,-156.67
2012,"s801","2012-06-04 04:00:59","2012-06-23 09:50:00","hd","2012-06-23 17:40:00",71.3218,-156.677
2012,"s805","2012-06-11 02:00:00","2012-06-30 11:00:00","hd","2012-07-02 14:29:00",71.3207,-156.662
2012,"s817","2012-06-17 19:31:54","2012-07-07 08:30:00","fl","2012-07-08 18:06:00",71.328,-156.641
2013,"s402","2013-06-13 13:29:18",NA,"d","2013-06-24 02:05:00",71.3214,-156.632
2013,"s406","2013-06-15 07:00:00",NA,"p","2013-07-06 10:20:00",71.3281,-156.623
2013,"s409","2013-06-20 13:43:18",NA,"d","2013-07-07 09:10:00",71.3215,-156.622
2013,"s410","2013-06-15 08:03:44",NA,"d","2013-06-27 00:30:00",71.3205,-156.611
2013,"s506","2013-06-13 07:00:00","2013-07-03 09:45:00","fl","2013-07-04 03:55:00",71.3247,-156.669
2013,"s510","2013-06-10 02:45:48",NA,"d","2013-07-03 06:10:00",71.3214,-156.673
2013,"s524","2013-06-17 11:56:48","2013-07-10 23:00:00","hd","2013-07-11 11:21:00",71.3157,-156.647
2013,"s526","2013-06-28 07:00:00",NA,"d","2013-07-09 03:00:00",71.3196,-156.655
2013,"s527","2013-06-28 20:05:18",NA,"ud","2013-07-12 15:03:00",71.3257,-156.668
2013,"s624","2013-06-12 14:09:52",NA,"d","2013-06-23 13:30:00",71.3237,-156.667
2013,"s702","2013-06-11 16:18:14","2013-06-30 14:30:00","hd","2013-07-01 02:16:00",71.3219,-156.626
2013,"s805","2013-06-15 22:57:18","2013-07-05 10:30:00","hd","2013-07-06 11:47:00",71.3232,-156.61
